IDX | STAGE1_R STAGE1_I | STAGE2_R STAGE2_I | FINAL_R FINAL_I
-----------------------------------------------------------------
 0  |        1        0 |        0        0 |       62        0
 1  |        6     2104 |      108        0 |      -29      -52
 2  |       20        0 |       -1        0 |      114       47
 3  |       53     1218 |      -63        3 |       45        0
 4  |      118        0 |        6        0 |      -18      -30
 5  |     -229     -245 |      -13       12 |      -13       21
 6  |      392        0 |      -20        0 |       15        0
 7  |      611     -556 |       29       31 |       -4       -8
 8  |      851        0 |       44        0 |       -1        5
 9  |    -1062     1095 |       56       55 |        2       -1
10  |     1203        0 |      -62        0 |        0       -1
11  |    -1217     1361 |      -70      -63 |        0        1
12  |     1075        0 |       55        0 |        0       -1
13  |     -833     1305 |       67       43 |        0        0
14  |     -430        0 |       22        0 |        0        0
15  |      166     -976 |       50        8 |        0       -1
16  |     -186        0 |      -10        0 |        0        0
17  |      267      549 |       28      -14 |        0        1
18  |     -367        0 |       19        0 |        0        0
19  |     -244     -201 |       10      -13 |        0        0
20  |      -70        0 |       -4        0 |        0        1
21  |      -20      -51 |       -3        1 |       -1       -1
22  |     -154        0 |        8        0 |       -1        1
23  |       73      -12 |        1        4 |        3        1
24  |      103        0 |        5        0 |       -3       -5
25  |      -33       16 |        1        2 |       -4        8
26  |       -5        0 |        0        0 |       15        0
27  |      -11        1 |        0       -1 |      -12      -21
28  |       19        0 |        1        0 |      -16       30
29  |       -4       -2 |        0        0 |       45        0
30  |       -5        0 |        0        0 |     -168      -47
31  |       -3        0 |        0        0 |      -31       52
